wheel,pwm,rep,cps,is_moving
R,112,2,3055,1
R,112,3,3057.5,1
R,114,1,3115,1
R,114,2,3113.75,1
R,114,3,3115,1
R,116,1,3172.5,1
R,116,2,3165,1
R,116,3,3172.5,1
R,118,1,3221.25,1
R,118,2,3225,1
R,118,3,3218.75,1
R,120,1,3266.25,1
R,120,2,3266.25,1
R,120,3,3267.5,1
